Ward,Tory.Total,Kees.Total,Goldy.Total,Other.Total,Num.Trips,Station,Latitude,Longitude,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1
4,-0.569282630599562,0.797109959704965,0.783442617802303,7.130519966,-0.826443444304325,Dundas St W / Edna Ave,43.6572627,-79.4526909,0,1.21850873270053,1.60113193283023
4,-0.569282630599562,0.797109959704965,0.783442617802303,7.130519966,-0.733435894290933,Landsdowne Subway Green P,43.6647888,-79.4635996,0,1.128389199482,1.58766016949459
4,-0.569282630599562,0.797109959704965,0.783442617802303,7.130519966,-0.644689646369788,Queen St W / Close Ave,43.6407312,-79.4359476,0,1.04287152495684,1.57981149551348
4,-0.569282630599562,0.797109959704965,0.783442617802303,7.130519966,-0.751685383685991,Bloor St W / Dundas St W,43.6563348,-79.4524245,0,1.14603564427824,1.58988353750478
4,-0.569282630599562,0.797109959704965,0.783442617802303,7.130519966,-0.745478704551631,Queen St W / Cowan Ave,43.6413253,-79.4331243,0,1.14003186866351,1.58910419705248
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.714260034875821,Salem Ave / Bloor St W,43.6606625,-79.4316443,0,1.54750415071594,2.40936195917899
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.714908493889859,Liberty St / Fraser Ave Green P,43.6416978,-79.4236547,0,1.54795317478127,2.40940652351874
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.859514854020242,Lansdowne Ave / Whytock Ave,43.6538351,-79.4411144,0,1.65139346181554,2.42366132720702
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.711944109825687,Rusholme Park Cres / College St W,43.6529203,-79.4296335,0,1.54590177894772,2.4092042130514
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.591886555226727,Queen St W / Gladstone Ave,43.6425333,-79.4271162,0,1.46544845839966,2.40407007451564
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.738623566403234,Sterling Rd / Dundas St W,43.6506776,-79.4430582,0,1.56446971942982,2.41115560752596
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.760949083886528,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6565553,-79.4327637,0,1.58018602082971,2.41301404304359
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.790963472536268,Bloor GO / UP Station/ Rail Path,43.6580286,-79.4508945,0,1.6015624144322,2.41583542619252
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.769934873081049,Dufferin St / Bloor St,43.6598576,-79.4353285,0,1.58655646068303,2.41381992395382
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.816623922091756,Cariboo St / Rail Path,43.6666942,-79.4583445,0,1.62005524054141,2.41854029464581
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.816438648087745,Margueretta St / College St W,43.651566,-79.437566,0,1.61992103496668,2.41851980249357
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.769008503060995,Mary McCormick Rec Centre (Sheridan Ave),43.6474373,-79.4328546,0,1.58589854607342,2.41373530908721
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.640150433271525,Claremont St / Dundas St W,43.6511693,-79.4115844,1,1.15469114848898,0.710741394447145
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.0875132174806595,Queens Quay W / Lower Simcoe St,43.6395925,-79.3827816,0,0.64149916883649,0.949732064205251
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.163996242963921,Bathurst St / Dundas St W,43.6522958,-79.4060126,0,0.781262622268602,0.80316303088444
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.506788288556966,Bay St / Queens Quay W (Ferry Terminal),43.641884,-79.377214,0,0.601061015628207,1.26946018584838
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.641482489472775,Navy Wharf Ct / Bremner Blvd,43.640722,-79.391051,0,0.647880180377648,1.38350580212464
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.0411947164779743,424 Wellington St W,43.6438342,-79.3966495,0,0.662297283264207,0.919332338067513
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.624865327940639,Strachan Ave / Princes' Blvd,43.6348654,-79.409077,1,1.14151650448043,0.708943169848637
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.919856680498913,Lower Jarvis St / The Esplanade,43.647992,-79.370907,0,0.80968268172786,1.62922637549538
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.158438022843599,Bathurst St / Fort York Blvd,43.6387685,-79.40061,0,0.777566539402957,0.805842167018393
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.461916841413192,Ontario Place Blvd / Remembrance Dr,43.6312174,-79.4102496,1,1.0047894224466,0.710230717626243
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.737639697554349,Bathurst St / Queens Quay W,43.6354,-79.3984,0,0.695479140055002,1.46706544895272
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,1.58276706684934,Bremner Blvd / Spadina Ave,43.640903,-79.392895,0,1.35690378571587,2.24527639600574
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.819310395149911,King St W / Fraser Ave,43.6394623,-79.4248104,1,1.31252975852635,0.754926064249825
