Ward,Tory.Total,Kees.Total,Goldy.Total,Other.Total,Num.Trips,Station,Latitude,Longitude,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.816438648087745,Margueretta St / College St W,43.651566,-79.437566,0,2.40121577412447,3.61200822026627
9,-2.48805598771724,1.62388666550697,-0.666486449955146,11.71182618,-0.769008503060995,Mary McCormick Rec Centre (Sheridan Ave),43.6474373,-79.4328546,0,2.38161203039814,3.61088444284723
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.640150433271525,Claremont St / Dundas St W,43.6511693,-79.4115844,1,1.05881130334539,0.785772322220924
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.0875132174806595,Queens Quay W / Lower Simcoe St,43.6395925,-79.3827816,0,0.658902690233654,1.1155484050685
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.163996242963921,Bathurst St / Dundas St W,43.6522958,-79.4060126,0,0.74284943029125,0.952875298461852
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.506788288556966,Bay St / Queens Quay W (Ferry Terminal),43.641884,-79.377214,0,0.720577388404334,1.44451039846178
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.641482489472775,Navy Wharf Ct / Bremner Blvd,43.640722,-79.391051,0,0.788149885415548,1.55941511934754
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.0411947164779743,424 Wellington St W,43.6438342,-79.3966495,0,0.668071426420376,1.08304103079588
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.624865327940639,Strachan Ave / Princes' Blvd,43.6348654,-79.409077,1,1.04678708863673,0.787223069329861
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.919856680498913,Lower Jarvis St / The Esplanade,43.647992,-79.370907,0,0.973070428330089,1.80558032374416
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.158438022843599,Bathurst St / Fort York Blvd,43.6387685,-79.40061,0,0.740174132622591,0.956054533741941
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,-0.461916841413192,Ontario Place Blvd / Remembrance Dr,43.6312174,-79.4102496,1,0.924607197235448,0.820421120537613
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,0.737639697554349,Bathurst St / Queens Quay W,43.6354,-79.3984,0,0.846261546360216,1.64328463881231
10,0.339388541146458,-0.074928754722799,1.02023837452094,6.52066361,1.58276706684934,Bremner Blvd / Spadina Ave,43.640903,-79.392895,0,1.53180607687102,2.42006149598491
